"ID";"Título";"Responsable";"Estado";"Función";"Riesgo";"Control";"Criterio de aceptación";"Módulo futuro";"Prueba de aceptación";"Autoridad de validación";"Fuente o fundamento";"Rol autorizado"
"REQ-01";"Alta Estructurada";"Dirección Médica";"Pendiente de protocolo local";"validar episodio de alta.";"error de identidad.";"verificación de identidad conforme al protocolo local.";"creación exitosa vinculada a un ID seudonimizado.";"Alta y episodio postalta trazable";"Unit/integración/e2e: crear borrador seudonimizado; activar solo con identidad verificada por política versionada y responsables activos; proyectar gobernanza desde episodio, avisos y tareas actuales; mantener cierre denegado por DEC-002, política ausente, error o versión obsoleta; conservar idempotencia, timeline y auditoría sin hard-delete.";"Dirección Médica";"El seguimiento precoz postalta se asocia con mejores resultados de continuidad y menor riesgo observado.";"Psiquiatría / Enfermería"
"REQ-02";"Consentimiento y Bases Legales";"Responsable del Tratamiento";"Pendiente de evaluación jurídica";"diferenciar participación en piloto, participación digital, comunicaciones telemáticas y base jurídica del tratamiento asistencial.";"tratamiento sin base jurídica adecuada.";"registro granular e independiente.";"ninguna comunicación sin permiso específico vigente y base jurídica configurada para el mismo canal y finalidad.";"Consentimientos y bases jurídicas (MVP técnico)";"Unit/integración: denegar canal sin permiso y base específica; conservar versiones append-only; política pendiente deniega.";"Responsable del Tratamiento";"RGPD y Autonomía del Paciente.";"Paciente / Clínico"
"REQ-03";"Plan de Seguridad";"Dirección de Enfermería";"Definido para desarrollo";"Plan Stanley-Brown versionado.";"pérdida de trazabilidad clínica.";"versiones históricas o sustituidas sin sobrescritura.";"editar genera v.N+1 y conserva v.N.";"Implementación técnica parcial: seis pasos, eventos de estado append-only y visibilidad por sección";"Unitarias e integración: N+1 conserva N; invalidación motivada; RBAC y sección; conflicto optimista; auditoría minimizada; sin hard-delete.";"Dirección de Enfermería";"Intervención Stanley-Brown (6 pasos).";"Paciente / Enfermería"
"REQ-04";"Check-ins";"Dirección Médica";"Pendiente de protocolo local";"cuestionarios con frecuencia configurable.";"fatiga tecnológica.";"parámetros configurables localmente, no codificados como constantes clínicas.";"cadencia aplicada conforme a configuración vigente.";"Check-ins configurables";"Unit/integración/e2e: aplicar cadencia y zona configuradas; conservar asignaciones/preguntas históricas; reintento idempotente; RBAC y formulario accesible; no alertas ni comunicaciones.";"Dirección Médica";"Monitorización remota de PROMs.";"Paciente"
"REQ-05";"Familia / Cuidador";"Responsable del Tratamiento";"Definido para desarrollo";"gestionar autorización del cuidador.";"acceso indebido.";"autorización explícita, granular y revocable.";"cuidador solo visualiza módulos autorizados.";"Portal cuidador limitado con perfil seudonimizado, invitación local de un uso, scopes versionados por episodio y autorización por campo";"Unit/integración/e2e: denegar por defecto; impedir vínculos cruzados por SQL; aislar scope por episodio; filtrar campos; rechazar invitación vencida/reutilizada o por rol incorrecto; logout server-side; observación sin alerta automática.";"Responsable del Tratamiento";"Soporte familiar en la recuperación.";"Paciente"
"REQ-06";"Revocación";"Responsable del Tratamiento";"Pendiente de evaluación jurídica";"retirar acceso o participación sin borrar historia clínica previa.";"borrado ilícito de documentación clínica.";"desactivar accesos y envíos sin hard-delete.";"revocar una autorización invalida inmediatamente ese acceso para el sujeto, cuidador y scope afectados en cada nueva petición, sin cerrar otros accesos legítimos.";"Revocaciones append-only, bloqueo transaccional contra accesos concurrentes e invalidación de sesiones de cuidador y nuevas asignaciones de check-in";"Unit/integración: revocar serializa lecturas, observaciones, aceptación y cambio de scope; invalida sesiones; conserva autorización, invitaciones, scopes, sesiones, observaciones y documentación; no altera la base asistencial.";"Responsable del Tratamiento";"RGPD (Art. 7.3).";"Paciente / Clínico"
"REQ-07";"Domicilio Seguro";"Dirección de Enfermería";"Pendiente de validación clínica";"registrar información, elementos pendientes y revisión humana.";"falsa sensación de seguridad.";"disclaimer explícito y carácter informativo.";"checkbox de comprensión; nunca certificar que el domicilio es seguro.";"Implementado para demo sintético: checklist estructurado versionado, append-only y sin score";"Unit/integración/e2e: exigir comprensión, registrar revisión humana, aislar por responsable y probar que no existe estado de certificación ni score.";"Dirección de Enfermería";"Mitigación de riesgos ambientales.";"Cuidador / Enfermería"
"REQ-08";"Avisos Explicables";"Dirección Médica";"Pendiente de validación clínica";"reglas configurables, versionadas, explicables y aprobadas localmente.";"sesgo de automatización.";"explicación y origen visibles; semáforo bajo feature flag.";"mostrar dato desencadenante sin puntuación predictiva.";"Motor determinista v1 implementado para demo sintética; cuatro fixtures draft no aprobados; validación clínica pendiente";"Unit/integración/e2e: caja negra de cuatro reglas; abstención; versionado, aprobación y RBAC deny-by-default; hash y explicación reproducibles; provenance v1 fuente-evaluación-aviso minimizada y compatible; idempotencia; auditoría separada; sin acción automática; persistencia append-only; flag apagado.";"Dirección Médica";"Organización de la información.";"Enfermería"
"REQ-09";"Gestión de Tareas";"Dirección de Enfermería";"Definido para desarrollo";"derivar acciones después de revisión humana.";"omisión asistencial.";"tarea vinculada al aviso de origen.";"interfaz permite crear tarea vinculada al marcar el aviso como revisado.";"Cola de trabajo y tareas";"Integración: tras revisión humana crear tarea opcional vinculada; probar que revisar no resuelve ni deriva automáticamente.";"Dirección de Enfermería";"Trazabilidad de la acción clínica.";"Enfermería / Psiquiatría"
"REQ-10";"Botón de Crisis";"Dirección Médica, autoridad final única";"Pendiente de protocolo local";"abrir recurso oficial validado localmente.";"enrutamiento erróneo.";"número aprobado clínicamente y verificado por TI.";"abrir marcador nativo con el número exacto.";"Estado seguro implementado: recurso visible y deshabilitado hasta DEC-010/011";"Unit/e2e: bloquear recurso no aprobado, no aceptar tel/número definitivo y mantener botón deshabilitado.";"Dirección Médica, autoridad final única";"Conexión con emergencias.";"Paciente"
"REQ-11";"SBAR y Exportación";"Dirección Médica";"Definido para desarrollo";"redactar evolución SBAR y exportar PDF minimizado.";"brecha de privacidad.";"minimización de identificadores.";"PDF contiene exclusivamente los datos definidos por protocolo local.";"Parcialmente implementado: preview determinista minimizado e impresión HTML, sin firma";"Unit/e2e: verificar procedencia, fallback seguro y ausencia de Assessment/Recommendation inventados; PDF institucional pendiente.";"Dirección Médica";"Transferencia estandarizada y segura.";"Enfermería / Psiquiatría"
"REQ-12";"Autenticación y RBAC";"Dirección TI";"Pendiente de verificación técnica";"autenticación reforzada para profesionales y proporcional para pacientes/cuidadores.";"accesos ilícitos.";"proveedor institucional y roles estrictos.";"soporte no puede leer notas clínicas en texto plano.";"Identidad institucional y RBAC";"Autorización negativa por rol y campo: support recibe denegación ante toda nota clínica en texto plano.";"Dirección TI";"Seguridad de acceso (MDR, RGPD).";"Todos"
"REQ-13";"Gestión de Incidentes";"Dirección TI";"Definido para desarrollo";"reportar fallos sin exponer datos clínicos.";"fallo oculto o exposición de información sanitaria.";"tickets técnicos segregados de la base de salud.";"el incidente técnico no incluye diagnóstico ni nota clínica.";"Incidentes técnicos sanitizados";"Redacción: inyectar payload sintético sensible y comprobar que ticket, log, traza y error no lo contienen.";"Dirección TI";"Trazabilidad técnica.";"Soporte Técnico"
"REQ-14";"Caída del Sistema";"Dirección de Enfermería";"Pendiente de protocolo local";"censo de contingencia opcional.";"pérdida de seguimiento.";"acceso sujeto al plan local de continuidad.";"acceso manual o restablecimiento validado.";"Contingencia opcional";"Integración: flag apagado por defecto; activación y acceso autorizados y auditados conforme a una política de prueba.";"Dirección de Enfermería";"Continuidad de negocio.";"Enfermería Gestora"
